"currentRanking";"displayName";"thumbnailUrl";"userId";"userUrl";"tier";"points";"joined";"totalGoldMedals";"totalSilverMedals";"totalBronzeMedals";"orgs";"country"
1;"bestfitting";"https://storage.googleapis.com/kaggle-avatars/thumbnails/708283-kg.jpg";708283;"/bestfitting";"grandmaster";203370;"2016-09-07T16:39:04.817Z";11;4;0;NA;NA
2;"Giba";"https://storage.googleapis.com/kaggle-avatars/thumbnails/54836-kg.jpeg";54836;"/titericz";"grandmaster";161926;"2012-08-23T17:26:51.11Z";39;28;22;"Kaggle";NA
3;"Μαριος Μιχαηλιδης KazAnova";"https://storage.googleapis.com/kaggle-avatars/thumbnails/111640-fb.jpg";111640;"/kazanova";"grandmaster";147807;"2013-06-24T19:35:02.9Z";29;28;25;"H2O ai";"Greece"
4;"raddar";"https://storage.googleapis.com/kaggle-avatars/thumbnails/405318-kg.jpg";405318;"/raddar";"grandmaster";134467;"2015-08-24T11:49:01.703Z";10;8;4;"oxipit.ai";"Lithuania"
5;"Eureka";"https://storage.googleapis.com/kaggle-avatars/thumbnails/170170-kg.jpeg";170170;"/pengyan";"grandmaster";127227;"2014-02-28T16:23:47.597Z";19;18;5;NA;"China"
6;"Komaki";"https://storage.googleapis.com/kaggle-avatars/thumbnails/69060-kg.jpg";69060;"/ckomaki";"master";121884;"2012-11-13T02:47:47.523Z";4;7;3;NA;"United States"
7;"weiwei";"https://storage.googleapis.com/kaggle-avatars/thumbnails/588067-fb.jpg";588067;"/shixw125";"grandmaster";117994;"2016-04-16T03:47:27.027Z";8;6;4;NA;"China"
8;"ZFTurbo";"https://storage.googleapis.com/kaggle-avatars/thumbnails/461723-fb.jpg";461723;"/zfturbo";"grandmaster";108542;"2015-11-08T08:25:50.383Z";9;16;8;"IPPM RAS";"Russia"
9;"Kohei";"https://storage.googleapis.com/kaggle-avatars/thumbnails/6388-kg.png";6388;"/confirm";"grandmaster";107500;"2011-02-16T10:14:36Z";14;29;18;"\(^-^)/";"Japan"
10;"Stanislav Semenov";"https://storage.googleapis.com/kaggle-avatars/thumbnails/149229-fb.jpg";149229;"/stasg7";"grandmaster";107007;"2013-12-13T08:10:20.96Z";28;9;0;NA;"Russia"
11;"idle_speculation";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";114032;"/speculation";"grandmaster";102662;"2013-07-13T19:24:20.74Z";8;8;7;NA;"United States"
12;"plantsgo";"https://storage.googleapis.com/kaggle-avatars/thumbnails/748899-kg.jpg";748899;"/plantsgo";"grandmaster";98934;"2016-10-12T03:07:13.557Z";5;1;1;"China";NA
13;"Little Boat";"https://storage.googleapis.com/kaggle-avatars/thumbnails/189197-fb.jpg";189197;"/xiaozhouwang";"grandmaster";98561;"2014-04-20T02:13:51Z";13;17;6;"OneModelAtATime";"Canada"
14;"alijs";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";666918;"/alijs1";"master";92060;"2016-07-20T18:49:51.157Z";3;10;7;"International IT company";"Latvia"
15;"Michael Jahrer";"https://storage.googleapis.com/kaggle-avatars/thumbnails/1455-fb.jpg";1455;"/mjahrer";"grandmaster";90153;"2010-06-25T21:54:51Z";14;11;2;NA;"Austria"
16;"Pavel Pleskov";"https://storage.googleapis.com/kaggle-avatars/thumbnails/355969-fb.jpg";355969;"/ppleskov";"grandmaster";87274;"2015-05-21T12:01:59.73Z";7;4;4;"AlgoTravelling.com";"Russia"
17;"Faron";"https://storage.googleapis.com/kaggle-avatars/thumbnails/210078-fb.jpg";210078;"/mmueller";"grandmaster";82411;"2014-06-23T12:54:35.657Z";15;5;3;"H2O.ai";NA
18;"Silogram";"https://storage.googleapis.com/kaggle-avatars/thumbnails/73703-fb.jpg";73703;"/psilogram";"grandmaster";82094;"2012-12-09T09:04:56.42Z";11;27;10;"Self-employed";"Switzerland"
19;"To Train Them Is My Cause";"https://storage.googleapis.com/kaggle-avatars/thumbnails/829300-kg.jpg";829300;"/rhgrossm";"master";78998;"2016-12-08T22:23:59.267Z";2;8;2;NA;"United States"
20;"utility";"https://storage.googleapis.com/kaggle-avatars/thumbnails/269623-fb.jpg";269623;"/utility";"grandmaster";77449;"2014-12-09T12:04:11.43Z";14;7;4;NA;"Russia"
21;"Shize Su";"https://storage.googleapis.com/kaggle-avatars/thumbnails/163663-kg.jpg";163663;"/sushize";"grandmaster";76124;"2014-02-06T20:13:15.337Z";15;18;6;NA;"United States"
22;"Mathurin Aché";"https://storage.googleapis.com/kaggle-avatars/thumbnails/18463-fb.jpg";18463;"/mathurinache";"master";75944;"2011-10-11T10:41:53.177Z";3;11;17;"Orange";"France"
23;"beluga";"https://storage.googleapis.com/kaggle-avatars/thumbnails/18102-fb.jpg";18102;"/gaborfodor";"grandmaster";72154;"2011-10-05T16:49:08.02Z";11;10;10;NA;"Hungary"
24;"Jiwei Liu";"https://storage.googleapis.com/kaggle-avatars/thumbnails/100236-gr.jpg";100236;"/jiweiliu";"grandmaster";70474;"2013-05-09T03:27:56.19Z";11;23;10;"University of Pittsburgh";"United States"
